implementation,platform,security,benchmark,n,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high,cv_pct,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us
cpython_3.13,rpi5,off,rx,30,11864.096666666663,41.33964018438858,11848.66019133044,11879.533142002885,0.34844321776757203,33.437666666666665,0.626,33.393,34.125666666666675,35.720000000000006,31.85,128.06
cpython_3.13,rpi5,off,tx,30,12569.519999999999,80.46946904432676,12539.472206437182,12599.567793562815,0.6401952424939598,79.01766666666667,2.7686666666666664,78.95633333333333,80.42933333333333,86.73933333333333,74.74,645.13
cpython_3.13,rpi5,on,rx,30,158.55,0.89894574267631,158.21432814307212,158.8856718569279,0.5669793394363355,6296.148,43.481,6296.019,6366.861666666666,6397.994,6068.55,7234.29
cpython_3.13,rpi5,on,security-sign,30,1167.3133333333333,10.278995433720027,1163.4750933586738,1171.1515733079927,0.8805686648303536,853.883,31.795,854.1993333333334,905.441,926.6243333333334,667.41,1260.24
cpython_3.13,rpi5,on,security-verify,30,158.0366666666667,1.4148189437797907,157.5083645906577,158.5649687426757,0.8952472699034764,6325.1596666666655,9.925666666666666,6323.880333333333,6335.029333333333,6355.947333333332,6192.64,6676.23
cpython_3.13,rpi5,on,tx,30,1064.8933333333334,5.148681339938383,1062.9707841247885,1066.8158825418784,0.48349268220338654,938.1806666666666,33.38666666666667,938.1483333333333,991.5286666666667,1014.9096666666667,762.67,1373.95
pypy_3.11,laptop,off,codec-decode,30,111795.08999999998,883.1809508620061,111465.30481308025,112124.87518691971,0.789999767308212,8.780666666666667,149.5683333333333,7.8130000000000015,11.104000000000001,17.81133333333333,7.21,66776.91
pypy_3.11,laptop,off,codec-encode,30,100484.55666666666,1013.7503840497012,100106.01605212162,100863.0972812117,1.0088618765693262,9.793666666666665,8.158333333333333,9.542000000000002,10.187333333333333,15.168666666666665,8.93,13550.56
pypy_3.11,laptop,off,rx,30,17469.620000000003,458.6677539916277,17298.350645926475,17640.88935407353,2.6255164908660156,19.492666666666665,68.56833333333333,17.316333333333333,31.38133333333333,63.848,10.66,24459.34
pypy_3.11,laptop,off,security-sign,30,1932.6566666666663,7.523328469791002,1929.8474096471994,1935.4659236861332,0.3892739253458195,517.1576666666666,275.2026666666667,508.60766666666666,554.8596666666667,591.756,395.13,20385.24
pypy_3.11,laptop,off,security-verify,30,219.30666666666667,1.7449302591208051,218.65509899969607,219.95823433363728,0.7956576449055227,4557.4676666666655,770.6649999999997,4490.428999999999,4671.268666666667,5497.604666666667,4249.36,51915.11
pypy_3.11,laptop,off,tx,30,76598.08666666667,710.3204909166662,76332.84863629336,76863.32469703998,0.9273345090299465,12.870333333333331,14.227333333333336,11.96866666666667,14.494666666666667,19.77833333333334,11.31,13249.66
pypy_3.11,laptop,on,rx,30,197.75666666666666,2.6963171988439356,196.74984527797193,198.7634880553614,1.3634519858634022,5042.084333333334,732.1163333333333,4972.844333333333,5289.361333333333,5867.123333333335,4617.4,33087.55
pypy_3.11,laptop,on,tx,30,1752.23,13.220364385400238,1747.2934348083134,1757.1665651916867,0.7544879602221305,570.3526666666666,314.0696666666667,551.7420000000001,642.4083333333333,821.231,429.31,21942.15
pypy_3.11,rpi5,off,codec-decode,30,65343.50333333334,419.2579803968406,65186.94983056835,65500.05683609833,0.6416215216654395,15.051333333333332,28.177999999999997,14.586999999999998,15.376000000000001,29.544666666666668,13.09,14979.15
pypy_3.11,rpi5,off,codec-encode,30,53580.600000000006,485.4339068617216,53399.33600018738,53761.86399981263,0.9059881876308246,18.39333333333333,19.060333333333332,17.93233333333333,18.863,33.00166666666667,16.02,15675.21
pypy_3.11,rpi5,off,rx,30,15945.363333333333,280.0034759431207,15840.808317102572,16049.918349564094,1.7560181608266106,21.308333333333334,54.936666666666675,19.654666666666667,25.668333333333333,36.110666666666674,15.65,16114.15
pypy_3.11,rpi5,off,tx,30,31925.506666666668,3479.885022370644,30626.09624410087,33224.91708923246,10.900015021543831,31.374666666666666,32.94133333333333,30.141666666666662,33.24900000000001,51.84100000000001,21.87,17352.89
pypy_3.11,rpi5,on,rx,30,110.19666666666666,0.3586212422630581,110.06275529403382,110.3305780392995,0.3254374684016983,9038.638666666668,1241.549,8964.126666666667,9078.50533333333,9178.493,8671.72,49702.04
pypy_3.11,rpi5,on,security-sign,30,1109.1699999999998,4.472378831650251,1107.4999862983545,1110.8400137016451,0.40321851759876765,900.7433333333333,362.9436666666668,887.0696666666668,963.8233333333334,1006.6206666666666,715.48,21487.87
